brooklyn_rank,start_station_id,start_station_name,lat,lon,capacity,trip_count,avg_duration_min,member_pct,trips_per_dock
484,3457.03,Prospect Park SW & Vanderbilt St,40.65482,-73.973217,37,1185,11.28,89.2,32.0
485,4821.10,Adams St & Prospect St,40.700763083261506,-73.98869812488556,59,1177,11.92,84.7,19.9
486,5051.02,Irving Ave & Jefferson St,40.70538,-73.92535,19,1174,12.63,83.1,61.8
487,4903.08,Old Fulton St,40.70277159,-73.99383605,39,1161,16.97,68.1,29.8
488,5539.06,Laight St & Hudson St,40.72185379,-74.00771779,87,1151,12.77,86.1,13.2
488,5575.08,Ave D & E 12 St,40.72580614,-73.97422494,41,1151,10.71,91.1,28.1
490,4895.15,Pearl St & York St,40.70140463410644,-73.98768022656441,54,1147,12.46,80.1,21.2
491,3831.03,Kingston Ave & Carroll St,40.66688,-73.9425,20,1144,8.8,92.5,57.2
492,3660.07,7 Ave & 17 St,40.660937794931684,-73.98680448532104,21,1134,9.75,86.3,54.0
493,5473.06,Monitor St & Meeker Ave,40.721226,-73.941845,21,1128,8.94,89.1,53.7
494,4131.03,Brooklyn Ave & Dean St,40.67669,-73.94437,19,1126,14.57,84.5,59.3
494,5282.02,Devoe St & Morgan Ave,40.713811,-73.93515,19,1126,11.28,84.2,59.3
496,5210.01,Powers St & Olive St,40.71323,-73.93894,19,1125,11.37,87.9,59.2
496,4600.09,Bushwick Ave & Linden St,40.69146,-73.92146,29,1125,14.01,77.9,38.8
498,4089.01,Bergen St & Kingston Ave,40.6756,-73.9415,22,1119,13.87,84.9,50.9
499,4853.06,Bridge St & York St,40.70133448066992,-73.98471236228943,54,1110,11.55,86.8,20.6
499,4640.01,Bushwick Ave & Harman St,40.69356,-73.92524,25,1110,13.33,80.6,44.4
501,4654.01,Norman St & Wyckoff Ave,40.69517,-73.90311,15,1099,7.97,85.4,73.3
502,4016.03,Kingston Ave & Park Pl,40.67308,-73.94191,21,1093,12.12,83.8,52.0
503,4818.03,Union Ave & Wallabout St,40.70029511,-73.95032283,31,1084,13.63,84.1,35.0
504,3620.02,Windsor Pl & 8 Ave,40.660906,-73.983074,20,1076,9.69,85.1,53.8
504,4608.01,Broadway & Kosciuszko St,40.69329,-73.92852,29,1076,12.14,78.9,37.1
506,3919.12,Eastern Pkwy & Franklin Ave (SW Corner),40.670529,-73.958222,30,1074,11.27,83.1,35.8
507,5093.01,Bedford Ave & S 9 St,40.70853074,-73.96408963,23,1070,13.68,86.4,46.5
508,4715.01,Franklin Ave & Myrtle Ave,40.694546087246025,-73.95801365375519,27,1067,13.48,84.7,39.5
509,4713.01,Central Ave & Himrod St,40.69676,-73.92302,25,1042,12.33,75.1,41.7
510,3420.01,36 St & 4 Ave,40.654144,-74.00422,30,1040,9.91,83.9,34.7
511,3625.07,Rogers Ave & Lincoln Rd,40.66127,-73.95352,23,1037,10.29,86.8,45.1
512,3839.02,President St & Nostrand Ave,40.66811,-73.9505,28,1031,11.55,81.4,36.8
513,5074.08,Woodward Ave & Harman St,40.70793,-73.91092,19,1022,9.21,82.3,53.8
514,3192.05,7 Ave & 41 St,40.647379,-74.000911,25,1020,12.41,86.9,40.8
515,4450.06,Putnam Ave & Ralph Ave,40.68705,-73.92338,20,1018,12.52,75.6,50.9
516,4784.02,Greene Ave & Myrtle Ave,40.698568,-73.918877,30,1016,12.38,80.3,33.9
