geoid,borough,centroid_lat,centroid_lon,population,median_income,no_vehicle_pct,transit_commute_pct,bike_commute_pct,has_citibike,coverage_status
36005002002,Bronx,40.81763704046629,-73.8644248309358,3915.0,-666666666.0,64.8,55.8,0.0,0,Gap Zone
36005016000,Bronx,40.831754135631165,-73.80338879534348,3903.0,96838.0,12.0,23.7,0.93,0,Gap Zone
36005041800,Bronx,40.8971154901262,-73.85846362224365,3899.0,58090.0,46.8,40.2,0.76,0,Gap Zone
36005007000,Bronx,40.82981520285653,-73.86562331804096,3869.0,57905.0,52.5,62.6,2.83,0,Gap Zone
36005048401,Bronx,40.886082035528766,-73.83315610117661,3815.0,82451.0,26.0,38.0,1.76,0,Gap Zone
36005039800,Bronx,40.882697014685206,-73.85346980655059,3802.0,51629.0,31.1,44.9,0.0,0,Gap Zone
36005040600,Bronx,40.8879511129756,-73.85700533320232,3770.0,48157.0,43.9,38.3,0.0,0,Gap Zone
36005009000,Bronx,40.81498306905938,-73.8411920963748,3692.0,33831.0,55.6,34.1,0.0,0,Gap Zone
36005033202,Bronx,40.86338181875945,-73.86894133725174,3664.0,42114.0,62.2,50.1,0.74,0,Gap Zone
36005037400,Bronx,40.87453799031409,-73.86667108498409,3649.0,36398.0,68.0,56.1,0.0,0,Gap Zone
36005030900,Bronx,40.89962450410232,-73.91795611643178,3562.0,116417.0,29.7,21.9,2.47,0,Gap Zone
36005043000,Bronx,40.89345986029702,-73.85065739477994,3532.0,78482.0,35.4,48.4,0.0,0,Gap Zone
36005030201,Bronx,40.86192063941919,-73.82449878892146,3522.0,68948.0,47.9,64.7,0.0,0,Gap Zone
36005045600,Bronx,40.88873592643012,-73.82137455896358,3518.0,114525.0,16.1,38.5,0.0,0,Gap Zone
36005027402,Bronx,40.84287035783612,-73.81467274117108,3512.0,101142.0,7.3,23.3,0.0,0,Gap Zone
36005032600,Bronx,40.86218944930876,-73.85548429860647,3350.0,104870.0,21.9,27.6,0.0,0,Gap Zone
36005022200,Bronx,40.835687861512085,-73.85520494640694,3333.0,52734.0,67.9,63.5,0.0,0,Gap Zone
36005040400,Bronx,40.88616910753261,-73.85134866976298,3310.0,83333.0,30.9,39.2,0.0,0,Gap Zone
36005024800,Bronx,40.8553409546341,-73.85840971495476,3242.0,64961.0,47.1,54.6,0.0,0,Gap Zone
36005007400,Bronx,40.81947347672558,-73.85286085221749,3192.0,53166.0,30.1,51.7,0.0,0,Gap Zone
36005036000,Bronx,40.866840486004094,-73.84311819055333,3176.0,96250.0,28.5,40.7,0.0,0,Gap Zone
36005032400,Bronx,40.86133667801134,-73.85971141838725,3091.0,40239.0,59.3,51.0,0.0,0,Gap Zone
36005020400,Bronx,40.84086585760928,-73.85085670382729,3012.0,59138.0,49.6,49.4,2.03,0,Gap Zone
36005022403,Bronx,40.85647612052978,-73.86543066845803,2998.0,88534.0,57.0,43.9,1.48,0,Gap Zone
36005013800,Bronx,40.821703278052965,-73.79447347829831,2969.0,84042.0,21.3,17.2,2.96,0,Gap Zone
36005038800,Bronx,40.87959819202969,-73.85536652126768,2967.0,63341.0,28.4,51.4,0.0,0,Gap Zone
36005039000,Bronx,40.88123522850446,-73.86076005639714,2953.0,59758.0,37.1,56.2,0.0,0,Gap Zone
36005026601,Bronx,40.84745209218429,-73.83410528859746,2943.0,47778.0,40.3,44.5,0.0,0,Gap Zone
36005037800,Bronx,40.87978269932926,-73.86661326214976,2882.0,43333.0,47.7,59.8,0.0,0,Gap Zone
36005038200,Bronx,40.877311936821286,-73.85473942648777,2879.0,73077.0,36.0,34.9,0.0,0,Gap Zone
36005042200,Bronx,40.8910971302061,-73.85527532656874,2860.0,72091.0,33.9,40.9,0.86,0,Gap Zone
36005008400,Bronx,40.81560881887685,-73.84773537387191,2811.0,67724.0,40.3,60.5,0.0,0,Gap Zone
36005028800,Bronx,40.854292168179214,-73.8514721596477,2784.0,86757.0,16.7,37.6,1.07,0,Gap Zone
36005023000,Bronx,40.84928726536645,-73.86601542317091,2773.0,55625.0,40.9,55.0,0.0,0,Gap Zone
36005009600,Bronx,40.83449231079614,-73.84365907024744,2740.0,53333.0,51.6,39.2,1.09,0,Gap Zone
36005046000,Bronx,40.882443857350545,-73.8426480590144,2739.0,40500.0,63.9,48.4,0.0,0,Gap Zone
36005046205,Bronx,40.86892030076147,-73.82907661374395,2702.0,46401.0,50.8,52.4,0.0,0,Gap Zone
36005042400,Bronx,40.889282505764605,-73.84953880049328,2682.0,97083.0,28.1,39.7,0.93,0,Gap Zone
36005015200,Bronx,40.826380860053256,-73.82490963790829,2666.0,77238.0,18.5,29.1,1.39,0,Gap Zone
36005022401,Bronx,40.855018481509084,-73.86850958575374,2640.0,63571.0,44.6,48.9,0.0,0,Gap Zone
36005020200,Bronx,40.838491131483416,-73.84757915094215,2578.0,53651.0,54.7,61.5,0.51,0,Gap Zone
36005025000,Bronx,40.85170641644195,-73.85570056738071,2532.0,98700.0,39.4,47.2,0.0,0,Gap Zone
36005020601,Bronx,40.83664757470593,-73.85054043003277,2528.0,55648.0,51.5,71.9,0.0,0,Gap Zone
36005025200,Bronx,40.847131897310106,-73.85496622901579,2525.0,85192.0,22.2,19.4,0.0,0,Gap Zone
36005006800,Bronx,40.828966897468746,-73.87048197959706,2493.0,29844.0,73.9,65.8,0.0,0,Gap Zone
36005036400,Bronx,40.87361674300271,-73.84921393983876,2489.0,62188.0,37.7,49.6,0.0,0,Gap Zone
36005037000,Bronx,40.87309208100788,-73.85902141449493,2479.0,82039.0,32.2,36.7,0.0,0,Gap Zone
36005016600,Bronx,40.82952800119964,-73.83018295493049,2417.0,105764.0,8.8,33.1,0.0,0,Gap Zone
36005023200,Bronx,40.84697457593651,-73.86331642920501,2378.0,55288.0,52.6,43.3,0.0,0,Gap Zone
36005044800,Bronx,40.89547124202153,-73.84131021547773,2361.0,102250.0,27.3,39.5,0.0,0,Gap Zone
36005023800,Bronx,40.843708081671316,-73.86109361684072,2349.0,72198.0,35.8,43.2,0.0,0,Gap Zone
36005005600,Bronx,40.83261183512381,-73.87907572663482,2311.0,39572.0,59.5,59.0,1.15,0,Gap Zone
36005036800,Bronx,40.87530717366985,-73.85594203883954,2282.0,66563.0,37.2,43.1,0.0,0,Gap Zone
36005024400,Bronx,40.846226544609806,-73.85751985743856,2271.0,58603.0,29.0,26.6,1.37,0,Gap Zone
36005037200,Bronx,40.87380248853212,-73.86328030463096,2264.0,68030.0,43.4,47.0,1.13,0,Gap Zone
36005033801,Bronx,40.867570704720194,-73.86584653564829,2262.0,68330.0,34.2,71.7,0.0,0,Gap Zone
36005031400,Bronx,40.86153674678346,-73.84553259482018,2244.0,115368.0,20.1,41.0,0.0,0,Gap Zone
36005035600,Bronx,40.866958233912726,-73.83599989036598,2195.0,98523.0,20.1,25.5,0.0,0,Gap Zone
36005029600,Bronx,40.85537210875411,-73.84502218970971,2171.0,55486.0,44.0,24.9,0.0,0,Gap Zone
36005044902,Bronx,40.89882569863094,-73.86898874885699,2146.0,88264.0,29.1,37.8,0.0,0,Gap Zone
36005022000,Bronx,40.84334270902911,-73.87242878448014,2142.0,32174.0,64.8,75.8,0.0,0,Gap Zone
36005035000,Bronx,40.86852215918104,-73.84825514672403,2093.0,69178.0,29.0,34.9,0.0,0,Gap Zone
36005033500,Bronx,40.89430387484523,-73.90520173138435,2085.0,107054.0,27.9,24.4,0.42,0,Gap Zone
36005019400,Bronx,40.8335215945815,-73.83606998851346,2070.0,70185.0,26.8,41.0,0.0,0,Gap Zone
36005024600,Bronx,40.85160987081204,-73.86115569350913,2041.0,86932.0,26.4,40.9,1.41,0,Gap Zone
36005045102,Bronx,40.90036822348441,-73.86414772520911,2027.0,93510.0,30.4,32.4,0.0,0,Gap Zone
36005042800,Bronx,40.8945093746349,-73.84570302962905,2014.0,104205.0,19.4,21.7,0.0,0,Gap Zone
36005025400,Bronx,40.84849853393578,-73.85247732393765,2002.0,78500.0,31.6,36.8,0.0,0,Gap Zone
36005034400,Bronx,40.86836439030029,-73.85713170373614,1993.0,73438.0,32.4,51.1,0.0,0,Gap Zone
36005031800,Bronx,40.861954557523624,-73.85156772974476,1924.0,91625.0,3.6,30.8,0.0,0,Gap Zone
36005031600,Bronx,40.8619716942302,-73.84872466181675,1907.0,97202.0,31.6,38.1,0.0,0,Gap Zone
36005043600,Bronx,40.89728023070965,-73.84976014710617,1891.0,60536.0,44.4,48.4,0.0,0,Gap Zone
36005029301,Bronx,40.883883198433594,-73.92559236224126,1862.0,137917.0,16.5,25.9,0.26,0,Gap Zone
36005033802,Bronx,40.87054868666244,-73.86574404535915,1829.0,69960.0,62.7,56.8,0.0,0,Gap Zone
36005016200,Bronx,40.82885024878769,-73.82175925183788,1826.0,115278.0,15.2,35.1,0.0,0,Gap Zone
36005044901,Bronx,40.89749988846906,-73.8733942786325,1815.0,98007.0,30.4,34.3,0.0,0,Gap Zone
36005031200,Bronx,40.86206166578239,-73.8424491725953,1775.0,118529.0,15.7,26.3,0.51,0,Gap Zone
36005004600,Bronx,40.82241894513483,-73.86917754474312,1763.0,17083.0,54.8,45.7,0.0,0,Gap Zone
