station_id,station_name,borough,lat,lon,capacity,total_trips,avg_duration_min,member_trips,member_pct,trips_per_dock
c04cef84-3fcd-4fd9-9e40-8e07453dbe19,Jerome Ave & E 181 St,Bronx,40.855653,-73.905528,19,134,13.22,105,78.4,7.05
facb0195-8daa-46e3-95e1-6f22fb678e8a,Prospect Ave & Jennings St,Bronx,40.831762,-73.896853,20,132,9.36,109,82.6,6.6
a4bb6fac-b795-4aa7-a266-613419019290,Gerard Ave & E 164 St,Bronx,40.830262,-73.923391,19,130,11.21,106,81.5,6.84
6076e321-85d8-4e0e-ae18-86bb8cbbda1b,Featherbed Ln & Jerome Ave,Bronx,40.845505,-73.914311,21,129,6.61,123,95.3,6.14
aa8270ec-4441-47d2-854b-5852e65fae66,Macombs Rd & Featherbed Ln,Bronx,40.84552,-73.91722,19,129,10.33,106,82.2,6.79
9790606b-a00d-4d5e-b6ec-abd11c9d25b3,Charlotte St & Boston Rd,Bronx,40.8358771,-73.8931428,19,127,13.18,111,87.4,6.68
1861683217585879154,Broadway & Van Cortlandt Park S,Bronx,40.8863,-73.8997,35,125,24.93,83,66.4,3.57
ff1e98d3-ae7d-4c53-a531-1845bee1d346,W Mosholu Pkwy S & Sedgwick Ave,Bronx,40.88226,-73.88702,37,123,10.5,89,72.4,3.32
186092d1-a431-45db-8198-d5ba13334d79,E 165 St & Jerome Ave,Bronx,40.83263,-73.925101,21,123,8.31,103,83.7,5.86
5f2766b0-362e-49e5-ab09-05e2c4b6f626,E Mosholu Pkwy & E 204 St,Bronx,40.8740704,-73.8833650931,19,122,14.51,99,81.1,6.42
844c68cc-19f0-474a-86d3-4af170117aae,Grand Concourse & E Mosholu Pkwy S,Bronx,40.877964,-73.8847550291,21,121,22.22,96,79.3,5.76
1864605926072998676,Sedgwick Ave & Giles Pl,Bronx,40.88111,-73.8965,20,121,14.43,73,60.3,6.05
fcb1c3a3-04b6-45cf-bc9a-deb71198804e,Jerome Ave & W 184 St,Bronx,40.860814,-73.902541,20,117,12.56,77,65.8,5.85
627c77c0-0088-4ba8-ba66-73e0e3d3fe77,Decatur Ave & Oliver Pl,Bronx,40.867,-73.8857764,23,114,7.73,91,79.8,4.96
579e583e-60ab-4f2a-83d0-fabebddfcd0f,Broadway & Ellwood St,Bronx,40.862058,-73.929719,19,113,11.79,88,77.9,5.95
6542d952-ca19-410e-9290-ee6b7a6e14cf,Decatur Ave & Bedford Park Blvd,Bronx,40.86813,-73.88412,20,111,10.09,93,83.8,5.55
1860187301567054286,Crotona Ave & Crotona Park N,Bronx,40.84234,-73.89409,20,111,15.46,79,71.2,5.55
b608193c-46ae-4b61-9e7a-4671e7c3b96e,E 167 St & Bryant Ave,Bronx,40.82675430693443,-73.88871818097057,20,106,13.35,82,77.4,5.3
1861682182353914188,W 238 St & Tibbett Ave,Bronx,40.88602,-73.90232,21,106,24.27,75,70.8,5.05
f0115d11-c678-4274-8bb7-d486dbb63361,Dyckman St & 10 Ave,Bronx,40.85890447538412,-73.9230939745903,19,106,13.76,98,92.5,5.58
d7a7789b-a052-4a69-a4ec-59436b0f8d75,West Farms Rd & Boone Ave,Bronx,40.8301283948092,-73.88630211353302,20,106,14.26,78,73.6,5.3
84b30f68-5404-453a-ae86-a2baff03a2c9,Bainbridge Ave & Bedford Park Blvd,Bronx,40.87002,-73.88565,19,104,9.89,73,70.2,5.47
30d6520e-b612-4240-a9ff-eec12b02b263,W 218 St & Indian Rd,Bronx,40.873054589370895,-73.91837194561958,21,103,11.84,73,70.9,4.9
15cb007b-bfca-4ad7-bfc6-44bf3d36785a,Jerome Ave & W 177 St,Bronx,40.850121,-73.910765,29,101,10.58,79,78.2,3.48
8ea3301f-6940-4e0f-80f0-7a3e54b2eaa5,E 133 St & Cypress Pl,Bronx,40.80262,-73.9174,19,101,16.33,74,73.3,5.32
1869754004195029842,E 182 St & Belmont Ave,Bronx,40.85089,-73.88793,22,100,16.65,75,75.0,4.55
1861683747231494964,Eames Pl & Claflin Ave,Bronx,40.8692,-73.90121,20,99,14.31,77,77.8,4.95
81a34754-ae08-47a6-964d-4733849a8fab,Garrison Ave & Manida St,Bronx,40.818743,-73.890247,30,99,15.42,73,73.7,3.3
55146e49-9bc4-4f13-bdf7-25422342b638,Waterloo Pl & Crotona Park East,Bronx,40.839194,-73.888587,19,95,14.74,68,71.6,5.0
1869753195262578852,E 179 St & Daly Ave,Bronx,40.84335,-73.88247,19,91,11.02,58,63.7,4.79
28a2436d-a52b-4fa4-874c-e096012a926d,9 Ave & W 219 St,Bronx,40.871094,-73.911503,19,90,7.54,55,61.1,4.74
c0df5c09-2c07-4689-9fe8-36ed81301d7d,Audubon Ave & Fort George Ave,Bronx,40.85715781391904,-73.92717361450195,23,89,12.88,64,71.9,3.87
adb67652-c20d-4dd2-8e89-d6015b801c1a,Freeman St & Reverend James A Polite Ave,Bronx,40.830529,-73.894717,19,84,16.29,55,65.5,4.42
99b7c9a5-9679-417f-b884-21c4b240aa99,10 Ave & W 204 St,Bronx,40.862638,-73.92006,20,83,11.95,75,90.4,4.15
