stop_id,stop_name,lat,lon
303434,NOSTRAND AV/VOORHIES AV,40.587608,-73.939283
303502,NOSTRAND AV/VOORHIES AV,40.586988,-73.93946
307894,OCEAN AV/AVENUE U,40.598764,-73.951363
303916,OCEAN AV/AVENUE U,40.599713,-73.951339
304011,OCEAN AV/AVENUE V,40.596946,-73.951078
303915,OCEAN AV/AVENUE V,40.597599,-73.950938
304012,OCEAN AV/AVENUE W,40.59458,-73.950637
303914,OCEAN AV/AVENUE W,40.595181,-73.950478
304013,OCEAN AV/AVENUE X,40.592865,-73.950267
303913,OCEAN AV/AVENUE X,40.593073,-73.95008
304014,OCEAN AV/AVENUE Y,40.590306,-73.94983
303912,OCEAN AV/AVENUE Y,40.590973,-73.949679
304015,OCEAN AV/AVENUE Z,40.588604,-73.949508
303911,OCEAN AV/AVENUE Z,40.588853,-73.949277
307033,OCEAN AV/SHORE PKWY,40.584217,-73.94842
300339,OCEAN AV/VOORHIES AV,40.586611,-73.948857
306986,OCEAN AV/VOORHIES AV,40.585947,-73.94898
300018,OCEAN PKWY/NEPTUNE AV,40.580219,-73.967568
300119,OCEAN PKWY/NEPTUNE AV,40.58051,-73.967694
300120,OCEAN PKWY/OCEAN VIEW AV,40.578153,-73.968242
300017,OCEAN PKWY/OCEAN VIEW AV,40.57874,-73.967853
300020,OCEAN PKWY/SHORE PKWY,40.585483,-73.966323
300117,OCEAN PKWY/SHORE PKWY,40.584715,-73.966889
300019,OCEAN PKWY/WEST AV,40.581414,-73.967253
300118,OCEAN PKWY/WEST AV,40.581609,-73.967352
300130,ORIENTAL BLVD/BEAUMONT ST,40.576998,-73.950519
300007,ORIENTAL BLVD/BEAUMONT ST,40.577148,-73.951388
300006,ORIENTAL BLVD/DOVER ST,40.577353,-73.949552
300131,ORIENTAL BLVD/DOVER ST,40.577176,-73.948788
300004,ORIENTAL BLVD/FALMOUTH ST,40.577718,-73.9462
300003,ORIENTAL BLVD/HASTINGS ST,40.577909,-73.944643
308351,ORIENTAL BLVD/HASTINGS ST,40.577746,-73.943997
300002,ORIENTAL BLVD/JAFFRAY ST,40.578066,-73.943029
300135,ORIENTAL BLVD/KENSINGTON ST,40.578066,-73.941234
308159,ORIENTAL BLVD/MACKENZIE ST,40.578036,-73.939948
300000,ORIENTAL BLVD/MACKENZIE ST,40.57835,-73.940029
300136,ORIENTAL BLVD/MACKENZIE ST,40.578031,-73.939993
300132,ORIENTAL BLVD/OCEAN AV,40.577327,-73.947381
300008,ORIENTAL BLVD/WEST END AV,40.577003,-73.952724
300129,ORIENTAL BLVD/WEST END AV,40.576804,-73.953057
300366,SHEEPSHEAD BAY RD/EMMONS AV,40.583619,-73.950517
300332,SHEEPSHEAD BAY RD/EMMONS AV,40.584161,-73.950714
304019,SHEEPSHEAD BAY RD/SHORE PKWY,40.5844,-73.950979
300364,SHEEPSHEAD BAY RD/VOORHIES AV,40.585419,-73.951591
303903,SHORE BLVD/EMMONS AV,40.582935,-73.953936
304022,SHORE BLVD/NEPTUNE AV,40.582669,-73.954239
350168,SHORE PKWY/BATCHELDER ST,40.586626,-73.936179
307041,SHORE PKWY/BEDFORD AV,40.584712,-73.943311
307806,SHORE PKWY/BRAGG ST,40.586567,-73.933336
308480,SHORE PKWY/BRIGHAM ST,40.585495,-73.931629
307045,SHORE PKWY/BRIGHAM ST,40.585581,-73.931926
306899,SHORE PKWY/BROWN ST,40.585697,-73.936898
307669,SHORE PKWY/COYLE ST,40.585988,-73.933881
307042,SHORE PKWY/E 28 ST,40.584996,-73.941046
306898,SHORE PKWY/NOSTRAND AV,40.585419,-73.938723
307040,SHORE PKWY/OCEAN AV,40.584308,-73.948082
308281,SHORE PKWY/SHEEPSHEAD BAY RD,40.58502,-73.95173
350198,VOORHIES AV / BRAGG ST,40.587871,-73.933867
300334,VOORHIES AV/E 14 ST,40.585677,-73.95473
308112,VOORHIES AV/KNAPP ST,40.588097,-73.931941
305688,WEST BRIGHTON AV/OCEAN PKWY,40.576254,-73.968966
303901,WEST END AV/HAMPTON AV,40.579575,-73.953305
304023,WEST END AV/OCEAN VIEW AV,40.578946,-73.953378
304024,WEST END AV/ORIENTAL BLVD,40.577017,-73.953015
303902,WEST END AV/SHORE BLVD,40.58162,-73.953693
